DNA_viral_contig,A_dry_1,A_dry_2,A_dry_3,C_dry_1,C_dry_2,C_dry_3,C_wet_1,C_wet_2,C_wet_3,A_wet_1,A_wet_2,A_wet_3
VC_74,0,0,1.846163306,0,0,0,0,0,0,0,0,0
VC_75,0,0,0,0,0.45009219,0,0,0,0,0,0,0
VC_76,0,0.953583059,0,0,0,0,0,0,0,0,0,0
VC_77,0,0,0,1.729377897,0,0,0,0,0,0,0,0
VC_78,0,0,0,0.338314518,0,0,0,0,0,0,0,0
VC_79,0,0,0,0,0,0,0,0,0.506226428,0,0,0
VC_80,0,0.704495984,0,0,0,0,0,0,0,0,0,0
VC_81,0,0,0,0,0,0.417684194,0,0,0,0,0,0
VC_82,0,0,0,1.384733191,1.679413636,0,0,0,2.449343246,0,0,0
VC_83,0,0,0,0,0,0,0,0,0,0,0,0.467949856
VC_84,0,0.294581473,0,0,0,0,0,0,0,0,0,0
VC_85,0,0,0,0,0,0,0,0,0,0,0,0.422841826
VC_86,0,0,0,1.245550662,0,1.641054991,1.385716422,0,0,0,0,0
VC_87,0,0,0,0,0,0,0,0,0,0,1.19280412,0
VC_88,0,0,0,0,0,0,0,0,0,0,1.194339835,0
VC_89,0,0,0,0,0,0,0,0,0,0,0.871468647,0
VC_90,0,0,0,0.296210082,0,0,0,0,0,0,0,0
VC_91,0,0.350260187,0,0,0,0,0,0,0,0,0,0
VC_92,0,0,0,0,0,0,0,0,0,2.662996279,0,0
VC_93,0,0,0,0,0,0,0,0,0,0,0,1.723103004
VC_94,0,0,0,0,0,0,0.665367822,0,0,0,0,0
VC_95,0,0.672569057,0,0.655887639,0,0,0,0,0,0,0,0.699896491
VC_96,0,0,0,0,0,0,0,0,0,2.926114567,2.291431035,0
VC_97,0,0,0,0,0,0,0,0,0,0,1.146487875,0.653123488
VC_98,0,0,0,0.470475384,0,0,0,0,0,0,0,0
VC_99,0,2.717762751,0,0,0,0,0,0,0,0,0,0
VC_100,0,0,0,0,0,0,0.518263156,0,0,0,0,0
VC_101,0,0,0,0,0,0,0.877427806,0,0,0,0,0
VC_102,0,0,0,0,0,0,0,0,0,0,0,0.935417787
VC_103,0,2.24017066,0,0,0,0,0,0,0,0,0,0
VC_104,0,1.256091374,0,0,0,0,0,0,0,0,0,0
VC_105,0,0,0,0.994439645,0,0,0,0,0,0,0,0
VC_106,0,0,0,0,0,0,0,0,0,0,0,0.849465205
VC_107,0,0,0,0,0,0,0,0,0,0,0,0.919671607
VC_108,0,0,0,0,0,0,0,0,0,1.523152939,0,0
VC_109,0,0.996164056,0,0,0,0,0,0,0,0,0,0
VC_110,0,0,0,0,0.334488317,0,0.306833199,0,0,0,0,0
VC_111,0,0,0,0.993279187,0,0,0,0,0,0,0,0
VC_112,0,0,0,0,0,0,0,0,0,0,0,0.421517265
VC_113,0,0,0,0.653809455,0,0,0,0,0,0,0,0
VC_114,0,0,0,0.292815544,0.355128641,0,0,0,0,0,0,0
VC_115,0,0,0,0,0,0,0,1.382132901,0,0,0,0
VC_116,0,0,0,0,0,0,0,0,0,0,2.326539144,0
VC_117,0,0,0,0,0,0,0,0,0,0.963286814,0.754346848,0.85946246
VC_118,0,0,0,0,0,0,0,0,0,0,0,0.859056023
VC_119,0,0.596817193,0.695718628,0.582014613,0,0.766823875,0,0,0,0,0,0
VC_120,0,0,0,0,0,0,0,0,0,0,0,0.844676009
VC_121,0,0.982152324,0,0,0,0,0,0,0,0,0,0
VC_122,0,0,0,0,0,0.597214021,0,0,0,0,0,0
VC_123,0,0,0,0,0,0,1.263355571,0,0,0,0,0
VC_124,0,0,0,0.50498168,0,0,0,0,0,0,0,0
VC_125,0,0,0,0,0.770815434,0.837376109,0,0,0,0,1.190521827,0
VC_126,0,0,0,0,0,0,0.778353198,0,0,0,0,0
VC_127,0,0.358321545,0,0,0,0,0,0,0,0,0,0
VC_128,0,0,1.40789311,0,0,0,0,0,0,0,0,0
VC_129,0,0,0,0,0,0,0,0,0,1.593758977,0,0
VC_130,0,0,0,0,1.512687344,0,0,0,0,0,0,0
VC_131,0,0,0,0,0,0,0,7.383009585,0,0,0,0
VC_132,0,11.78784123,0,0,0,0,0,0,0,0,0,0
VC_133,0,0.397552491,0,0,0,0,0,0,0,0,0,0
VC_134,0,0,0,0,0,1.271356876,0,0,0,0,0,0
VC_135,0,0,0,0,0,0,0.72245963,0,0,0,0,0
VC_136,0,0.420563269,0,0,0,0,0,0,0,0,0.768249766,0
VC_137,0,0,0,0,0,0,0.968142068,0,0,0,0,0
VC_138,0,1.856583874,0,0,0,0,0,0,0,0,0,0
VC_139,0,1.105893562,0,0,2.615938092,0,0,2.083706538,0,0,0,0
VC_140,0,0,0,0,0,0,0,0.907972607,0,0,0.880279562,0
VC_141,0,0,0,0,0,0,0,0,0,0,0,0.581794737
