VC,wet,dry
SRR3505613.111630.1,F,T
SRR3505613.11717.1,F,T
SRR3505613.117664.1,F,T
SRR3505613.120418.1,T,T
SRR3505613.18539.1,T,T
SRR3505613.23103.1,F,T
SRR3505613.25625.1,T,T
SRR3505613.30866.1,F,T
SRR3505613.44540.1,T,T
SRR3505613.55948.1,F,T
SRR3505613.62507.1,F,T
SRR3505613.62689.1,T,T
SRR3505613.69217.1,F,T
SRR3505613.74904.1,F,T
SRR3505613.75145.1,T,T
SRR3505613.75293.1,T,T
SRR3505613.75601.1,T,T
SRR3505613.75897.1,F,T
SRR3505613.78945.1,F,T
SRR3505613.81848.1,F,T
SRR3505613.81854.1,F,T
SRR3505613.84249.1,T,T
SRR3505613.85317.1,T,T
SRR3505613.87341.1,T,T
SRR3505613.96761.1,T,T
SRR3505654.117644.1,F,T
SRR3505654.129484.1,T,T
SRR3505654.132210.1,F,T
SRR3505654.185293.1,F,T
SRR3505654.185299.1,T,T
SRR3505654.192538.1,T,T
SRR3505654.213147.1,T,T
SRR3505654.256002.1,T,T
SRR3505654.262134.1,F,T
SRR3505654.276084.1,T,T
SRR3505654.308253.1,F,T
SRR3505654.325909.1,F,T
SRR3505654.327848.1,T,T
SRR3505654.330378.1,F,T
SRR3505654.391307.1,F,T
SRR3505654.4324.1,F,T
SRR3505654.53699.1,T,T
SRR3505654.581344.1,F,T
SRR3505654.88315.1,T,T
SRR3505673.1187.1,T,T
SRR3505673.6951.1,T,T
SRR3505673.842.1,F,T
2088090014_____GPIPI_16748044,T,F
3300000364_____INPhiseqgaiiFebDRAFT_105889561,T,F
3300000440_____AR_comb_assmDRAFT_10429468,T,F
3300002404_____B570J29591_1000012,T,F
3300002488_____JGI25128J35275_1001190,T,F
3300002835_____B570J40625_100001729,T,F
3300002987_____JGI25159J45721_1000077,T,F
3300003791_____Ga0055530_10000287,T,F
3300005281_____Ga0065720_1019009,T,F
3300005295_____Ga0065707_10081931,T,F
3300005334_____Ga0068869_100000235,T,F
3300005340_____Ga0070689_100001058,T,F
3300005347_____Ga0070668_100002434,T,F
3300005435_____Ga0070714_100002438,T,F
3300005468_____Ga0070707_100001765,T,F
3300005511_____Ga0077121_10000726,T,F
3300005512_____Ga0074648_1002048,T,F
3300005611_____Ga0074647_1001084,T,F
3300005613_____Ga0074649_1001579,T,F
3300005618_____Ga0068864_100001461,T,F
3300005937_____Ga0081455_10008166,T,F
3300005937_____Ga0081455_10016496,T,F
3300006038_____Ga0075365_10000167,T,F
3300006165_____Ga0075443_10000567,T,F
3300006845_____Ga0075421_100016349,T,F
3300006865_____Ga0073934_10002206,T,F
3300006880_____Ga0075429_100008585,T,F
3300006904_____Ga0075424_100000784,T,F
3300007066_____Ga0103285_100132,T,F
3300007305_____Ga0104872_100510,T,F
3300007318_____Ga0104925_100199,T,F
3300007798_____Ga0105755_101379,T,F
3300008139_____Ga0114845_1000095,T,F
3300009137_____Ga0066709_100004221,T,F
3300009148_____Ga0105243_10001386,T,F
3300009151_____Ga0114962_10001634,T,F
3300009159_____Ga0114978_10000300,T,F
3300009161_____Ga0114966_10000308,T,F
3300009161_____Ga0114966_10002297,T,F
3300009161_____Ga0114966_10017407,T,F
3300009164_____Ga0114975_10001042,T,F
3300009544_____Ga0115006_10001545,T,F
3300009686_____Ga0123338_10000477,T,F
3300009694_____Ga0116170_10000928,T,F
3300009695_____Ga0123337_10003402,T,F
3300010260_____Ga0129315_1000359,T,F
3300010288_____Ga0116210_1003287,T,F
3300010334_____Ga0136644_10000457,T,F
3300011743_____Ga0120721_100085,T,F
3300011877_____Ga0121633_100411,T,F
3300011906_____Ga0122201_100159,T,F
3300012201_____Ga0137365_10003473,T,F
3300014204_____Ga0172381_10001244,T,F
3300014208_____Ga0172379_10002424,T,F
3300014552_____Ga0134450_100274,T,F
3300014565_____Ga0169881_100640,T,F
3300017447_____Ga0182215_1000026,T,F
3300017971_____Ga0180438_10006000,T,F
3300018027_____Ga0184605_10003167,T,F
3300018416_____Ga0181553_10002116,T,F
3300019881_____Ga0193707_1000032,T,F
3300020470_____Ga0211543_10000364,T,F
7000000421_____SRS043663_LANL_scaffold_906,T,F
Kansas_Scaffold115142520_7665,T,F
Kansas_Scaffold183228010_14940,T,F
Kansas_Scaffold212773713_36301,T,F
Kansas_Scaffold212773715_9965,T,F
Kansas_Scaffold236644344_11743,T,F
Kansas_Scaffold24104993_5171,T,F
Kansas_Scaffold249260973_5874,T,F
Kansas_Scaffold257909002_10792,T,F
Kansas_Scaffold27728713_3612,T,F
Kansas_Scaffold302556578_4230,T,F
Kansas_Scaffold328033592_4684,T,F
Kansas_Scaffold38083093_3716,T,F
Kansas_Scaffold389260807_4007,T,F
Kansas_Scaffold40225674_6980,T,F
Kansas_Scaffold47002564_6206,T,F
Kansas_Scaffold53989663_6598,T,F
Kansas_Scaffold9769715_5885,T,F
NC_023503,T,F
NC_031032,T,F
REF:Betaproteobacteria_gi_482909684-27294-76934,T,F
REF:Gammaproteobacteria_gi_378760357-8358-14535,T,F
REF:Gammaproteobacteria_gi_417692287,T,F
REF:Gammaproteobacteria_gi_556926888,T,F
SRR3505613.109142.1,T,F
SRR3505613.114479.1,T,F
SRR3505613.21091.1,T,F
SRR3505613.34565.1,T,F
SRR3505613.34603.1,T,F
SRR3505613.42174.1,T,F
SRR3505613.56991.1,T,F
SRR3505613.71227.1,T,F
SRR3505613.96013.1,T,F
SRR3505654.162915.1,T,F
SRR3505654.230178.1,T,F
SRR3505654.30755.1,T,F
SRR3505654.334689.1,T,F
SRR3505654.357225.1,T,F
SRR3505654.368513.1,T,F
SRR3505654.372057.1,T,F
SRR3505654.382059.1,T,F
SRR3505654.564074.1,T,F
SRR3505654.668152.1,T,F
SRR3505654.719644.1,T,F
SRR3505654.741096.1,T,F
SRR3505654.78762.1,T,F
SRR3505673.19570.1,T,F
